odor,reward,mbon_output,veto_value,gating_factor,rpe,dopamine,weight_change_magnitude,replicate,seed
DA1,1.0,4.250414717767254,0.0,1.0,0.9787018944624034,0.9787018944624034,1.7288719869293,1,42
DL3,1.0,0.02055796667681942,0.0,1.0,0.9808111470494862,0.9808111470494862,0.0027163618530222484,1,42
DA1,1.0,5.7956394717004835,0.0,1.0,0.9769343928728371,0.9769343928728371,2.353140662635111,1,42
DL3,1.0,0.028061241627465327,0.0,1.0,0.979212892343926,0.979212892343926,0.003684643702965829,1,42
DA1,1.0,7.898820667146882,0.0,1.0,0.9733927824423865,0.9733927824423865,3.195446297407772,1,42
DL3,1.0,0.03825396511820931,0.0,1.0,0.9760152502330297,0.9760152502330297,0.004990107448216332,1,42
DA1,1.0,10.754834516001864,0.0,1.0,0.9676588906937249,0.9676588906937249,4.325209878783316,1,42
DL3,1.0,0.05205578275910935,0.0,1.0,0.9708409458415934,0.9708409458415934,0.006738438417319718,1,42
DA1,1.0,14.620604032618832,0.0,1.0,0.9591362472248153,0.9591362472248153,5.828097296809224,1,42
DL3,1.0,0.07066193883924725,0.0,1.0,0.9631519605634945,0.9631519605634945,0.009058776782380566,1,42
DA1,1.0,19.829618323688262,0.0,1.0,0.9470071461834568,0.9470071461834568,7.804566656194145,1,42
DL3,1.0,0.09559234260177742,0.0,1.0,0.9522108392225095,0.9522108392225095,0.012100219942003991,1,42
DA1,1.0,26.805153489234037,0.0,1.0,0.9301846018110245,0.9301846018110245,10.362597594293366,1,42
DL3,1.0,0.12871880569164676,0.0,1.0,0.9370374228242304,0.9370374228242304,0.016018753380210773,1,42
DA1,1.0,36.066995145637414,0.0,1.0,0.90726668539617,0.90726668539617,13.599599527783782,1,42
DL3,1.0,0.17223671735387772,0.0,1.0,0.9163677801391991,0.9163677801391991,0.02094708840837636,1,42
DA1,1.0,48.2219909529405,0.0,1.0,0.8765090111723387,0.8765090111723387,17.56639809671805,1,42
DL3,1.0,0.22852493462919624,0.0,1.0,0.8886295851204757,0.8886295851204757,0.026937572492415206,1,42
DA1,1.0,0.04259706456800439,0.0,1.0,0.6860684812123831,0.6860684812123831,0.0121456806092653,2,142
DL3,1.0,0.00012083679930650008,0.0,1.0,0.7174615122543455,0.7174615122543455,9.160650532984643e-05,2,142
DA1,1.0,0.05345267982075609,0.0,1.0,0.7456619083490903,0.7456619083490903,0.01656484457539946,2,142
DL3,1.0,0.00017157335957712746,0.0,1.0,0.7710955459408217,0.7710955459408217,0.00010270344888685748,2,142
DA1,1.0,0.06825804878683683,0.0,1.0,0.7939177332979527,0.7939177332979527,0.02252196816271921,2,142
DL3,1.0,0.0002410998087298558,0.0,1.0,0.8145257188683487,0.8145257188683487,0.00011425247339525166,2,142
DA1,1.0,0.08838776210901404,0.0,1.0,0.8329847592194048,0.8329847592194048,0.030598986222040412,2,142
